
Interrupt method selected.

Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple.

Please, press PB0 to continue.
1288, 644, 11071, 231, 0, 0
1290, 645, 11077, 231, 0, 0
1292, 646, 11085, 231, 0, 0
1294, 647, 11097, 231, 0, 0
1296, 648, 11091, 231, 0, 0
1298, 649, 11095, 231, 0, 0
1300, 650, 11134, 231, 0, 0
1302, 651, 11116, 231, 0, 0
1304, 652, 11118, 231, 0, 0
1306, 653, 11120, 231, 0, 0
1308, 654, 11125, 231, 0, 0
1310, 655, 11133, 231, 0, 0
1312, 656, 11147, 231, 0, 0
1314, 657, 11142, 231, 0, 0
1316, 658, 11148, 231, 0, 0
1318, 659, 11172, 231, 0, 0
1320, 660, 11158, 231, 0, 0
1322, 661, 11174, 231, 0, 0
1324, 662, 11170, 231, 0, 0
1326, 663, 11176, 231, 0, 0
1328, 664, 11177, 231, 0, 0
1330, 665, 11189, 231, 0, 0
1332, 666, 11191, 231, 0, 0
1334, 667, 11227, 231, 0, 0
1336, 668, 11208, 231, 0, 0
1338, 669, 11191, 231, 0, 0
1340, 670, 11207, 231, 0, 0
1342, 671, 11206, 231, 0, 0
1344, 672, 11223, 231, 0, 0
1346, 673, 11230, 231, 0, 0
1348, 674, 11213, 231, 0, 0
1350, 675, 11240, 231, 0, 0
1352, 676, 11225, 231, 0, 0
1354, 677, 11237, 231, 0, 0
1356, 678, 11246, 231, 0, 0
1358, 679, 11270, 231, 0, 0
1360, 680, 11255, 231, 0, 0
1362, 681, 11262, 231, 0, 0
1364, 682, 11268, 231, 0, 0
1366, 683, 11275, 231, 0, 0
1368, 684, 11277, 231, 0, 0
1370, 685, 11275, 231, 0, 0
1372, 686, 11287, 231, 0, 0
1374, 687, 11282, 231, 0, 0
1376, 688, 11286, 231, 0, 0
1378, 689, 11302, 231, 0, 0
1380, 690, 11312, 231, 0, 0
1382, 691, 11319, 231, 0, 0
1384, 692, 11319, 231, 0, 0
1386, 693, 11319, 231, 0, 0
